ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_TypeParam3|INTEGER	_Potential1|INTEGER	_Potential2|INTEGER	_Potential3|INTEGER	_Potential4|INTEGER	_Potential5|INTEGER	_Potential6|INTEGER	_Potential7|INTEGER	_Potential8|INTEGER	_Potential9|INTEGER	_Potential10|INTEGER	_LevelLimit|INTEGER	_HeroLevelLimit|INTEGER	_NeedJobClass|TEXT	_Rank|INTEGER	_OverlapCount|INTEGER	_IconImageIndex|INTEGER	_Amount|INTEGER	_SellAmount|INTEGER	_State1|INTEGER	_State1_GenProb|FLOAT	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_GenProb|FLOAT	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_GenProb|FLOAT	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_GenProb|FLOAT	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_GenProb|FLOAT	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_GenProb|FLOAT	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_GenProb|FLOAT	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_GenProb|FLOAT	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_GenProb|FLOAT	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_GenProb|FLOAT	_State10_Min|TEXT	_State10_Max|TEXT	_Skill_GenProb|FLOAT	_SkillID|INTEGER	_SkillLevel|INTEGER	_SkillUsingType|INTEGER	_Reversion|INTEGER	_SealCount|INTEGER	_IsAuthentication|BOOLEAN	_IsDestruction|BOOLEAN	_IsCash|BOOLEAN	_RootSound|INTEGER	_DragSound|INTEGER	_UseSound|INTEGER	_DropSkinName|INTEGER	_DropAniName|INTEGER	_DropActName|INTEGER	_EnchantID|INTEGER	_DisjointorType|INTEGER	_Disjointamount|INTEGER	_DisjointDrop1|INTEGER	_AllowMapTypes|INTEGER	_ShowAlarmDialog|BOOLEAN	_NeedPvPRank|INTEGER	_SealID|INTEGER	_IsSealed|BOOLEAN	_CashTradeCount|INTEGER	_Compose|BOOLEAN	_ComposeList|BOOLEAN	_ApplicableValue|INTEGER	_IsCollectingEvent|BOOLEAN	_ExchangeType|INTEGER	_UseLevelLimit|INTEGER	_IsRebuyable|BOOLEAN	_ItemCategoryType|INTEGER	_AbleWStorage|BOOLEAN	_isUse|BOOLEAN	_dragonjeweltype|INTEGER	_CashOverLabBuy|INTEGER	_ShowOldLabel|BOOLEAN	_TierName|INTEGER	_GearScore|INTEGER	_overlablimit|INTEGER	_AbleStorage|BOOLEAN	_CashDisjointGroup|INTEGER	_TooltipCharmNum|TEXT	_CloneSkillOn|INTEGER
268497716	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	33	1.0	-20000	-20000	25	1.0	320000	320000	32	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497717	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	33	1.0	-20000	-20000	25	1.0	320000	320000	8	1.0	-12000	-12000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497718	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	33	1.0	-20000	-20000	25	1.0	320000	320000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497719	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	33	1.0	-20000	-20000	25	1.0	320000	320000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497720	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	33	1.0	40000	40000	8	1.0	-12000	-12000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497721	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	33	1.0	40000	40000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497722	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	33	1.0	40000	40000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497723	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	33	1.0	40000	40000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497724	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	8	1.0	12000	12000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497725	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	8	1.0	12000	12000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497726	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	8	1.0	12000	12000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497727	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	8	1.0	12000	12000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497728	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	12	1.0	40000	40000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497729	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	12	1.0	40000	40000	8	1.0	-12000	-12000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497730	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	12	1.0	40000	40000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497731	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	12	1.0	40000	40000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497732	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	103	1.0	180000	180000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497733	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	103	1.0	180000	180000	8	1.0	-12000	-12000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497734	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	103	1.0	180000	180000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497735	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	103	1.0	180000	180000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497736	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	25	1.0	320000	320000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497737	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	25	1.0	320000	320000	8	1.0	-12000	-12000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497738	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	25	1.0	320000	320000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497739	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	32	1.0	-20000	-20000	25	1.0	320000	320000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497740	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	33	1.0	40000	40000	32	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497741	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	33	1.0	40000	40000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497742	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	33	1.0	40000	40000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497743	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	33	1.0	40000	40000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497744	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	32	1.0	40000	40000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497745	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	32	1.0	40000	40000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497746	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	32	1.0	40000	40000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497747	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	32	1.0	40000	40000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497748	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	12	1.0	40000	40000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497749	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	12	1.0	40000	40000	32	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497750	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	12	1.0	40000	40000	103	1.0	-180000	-180000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497751	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	12	1.0	40000	40000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497752	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	103	1.0	180000	180000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497753	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	103	1.0	180000	180000	32	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497754	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	103	1.0	180000	180000	12	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497755	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	103	1.0	180000	180000	25	1.0	-320000	-320000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
268497756	1000001845	1000179098	{1000066788},{1000100443},{1000054149}	{1000100443}	132	838949761	51	0	0	0	0	0	0	0	0	0	0	0	95	0	0	4	1	18348	0	1	9	1.0	6000	6000	8	1.0	-6000	-6000	25	1.0	320000	320000	33	1.0	-40000	-40000	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	1	0	1	0	false	true	false	4844	4843	4843	22520	4795	57328	0	1	1600000	184555856	-1	true	0	0	false	0	false	false	0	false	52	0	true	0	false	true	0	0	false	0	100	0	true	0		0
